problem_key,parameterId,parameterId,lowerBound,upperBound,ensemble_mean,ensemble_std,ensemble_median,within lb: 1 std,within ub: 1 std,within lb: 2 std,within ub: 2 std,within lb: 3 std,within ub: 3 std,within lb: perc 5,within lb: perc 20,within ub: perc 80,within ub: perc 95,percentile_5,percentile_25,percentile_75,percentile_95,true_value,A0,B0
prob_000 | p_000,rA,rA,0.001,100.0,0.09141836996845422,0.1516399363985175,0.09141836996845422,False,True,False,True,False,True,True,True,True,True,0.0013168951627759026,0.004748142259489178,0.10168411061102821,0.4147466770931765,0.1,[0.1],[0.9]
prob_002 | p_006,rB,rB,0.001,100.0,1.005462434101857,0.133038055851131,1.005462434101857,True,True,True,True,True,True,True,True,True,True,0.7987681607301558,0.9189019664344615,1.0876073685614167,1.2286282725860207,1.0,[0.5],[0.5]
prob_003 | p_006,rA,rA,0.001,100.0,0.4979924141466622,0.03998743280566383,0.4979924141466622,True,True,True,True,True,True,True,True,True,True,0.4386338460770609,0.46883875034119665,0.523599070808057,0.5686947725419474,0.5,[0.7],[0.3]
prob_003 | p_006,rB,rB,0.001,100.0,0.9909486038760932,0.17743239859440305,0.9909486038760932,True,True,True,True,True,True,True,True,True,True,0.7274239546832666,0.8628301280255772,1.1050439634610385,1.301136295741409,1.0,[0.7],[0.3]
prob_004 | p_006,rA,rA,0.001,100.0,0.4695935244223333,0.023665628135324242,0.4695935244223333,True,True,True,True,True,True,True,True,True,True,0.44782380954957807,0.45411317474318685,0.47913129074623106,0.5146180131595443,0.5,[0.9],[0.1]
prob_004 | p_006,rB,rB,0.001,100.0,0.3640971860626088,0.4866677690079401,0.3640971860626088,False,True,False,True,False,True,True,True,True,True,0.0020968618076140583,0.016871489636624378,0.5923033621550534,1.3234177599142944,1.0,[0.9],[0.1]
prob_000 | p_007,rA,rA,0.001,100.0,0.17871520115170217,0.28483632773673434,0.17871520115170217,False,True,False,True,False,True,True,True,True,True,0.0017134252260565177,0.007480382582194178,0.2496121194236021,0.7330934914129986,0.5,[0.1],[0.9]
prob_000 | p_007,rB,rB,0.001,100.0,1.9046604650186647,0.08743004477294956,1.9046604650186647,True,True,True,True,True,True,True,True,True,True,1.8278935861135626,1.853546808603265,1.9279743789992716,2.0615342217412866,2.0,[0.1],[0.9]
prob_001 | p_007,rA,rA,0.001,100.0,0.4962843597713535,0.10175953031618536,0.4962843597713535,True,True,True,True,True,True,True,True,True,True,0.3383663244548841,0.42753559004735897,0.5631016194606344,0.6744118117093623,0.5,[0.3],[0.7]
prob_001 | p_007,rB,rB,0.001,100.0,1.9954889093153143,0.11937318113597162,1.9954889093153143,True,True,True,True,True,True,True,True,True,True,1.810641366044434,1.916298219551668,2.0709948695010785,2.1968934117183303,2.0,[0.3],[0.7]
prob_002 | p_007,rA,rA,0.001,100.0,0.5002116724912168,0.043642015426157435,0.5002116724912168,True,True,True,True,True,True,True,True,True,True,0.4328107421172713,0.46919229586498046,0.527528065255463,0.5741247594656405,0.5,[0.5],[0.5]
prob_002 | p_007,rB,rB,0.001,100.0,2.000909076245307,0.11841355388202514,2.000909076245307,True,True,True,True,True,True,True,True,True,True,1.814896318922886,1.9162139169126917,2.0734443249506636,2.1993602811442434,2.0,[0.5],[0.5]
prob_003 | p_007,rA,rA,0.001,100.0,0.5010761230782924,0.031534267774122306,0.5010761230782924,True,True,True,True,True,True,True,True,True,True,0.4517973207283535,0.4791418434127203,0.5216092433440678,0.5549590704604883,0.5,[0.7],[0.3]
