Time [min],Conversion [%]
15.6,31.74757282
15.617,31.90938511
15.633,31.81229773
15.65,31.94174757
15.667,32.00647249
15.683,32.00647249
15.7,32.26537217
15.717,31.97411003
15.733,32.36245955
15.75,32.42718447
15.767,32.13592233
15.783,32.29773463
15.8,32.39482201
15.817,32.26537217
15.833,32.33009709
15.85,32.00647249
15.867,32.65372168
15.883,32.49190939
15.9,32.65372168
15.917,32.39482201
15.933,32.65372168
15.95,32.81553398
15.967,32.78317152
15.983,32.68608414
16,32.65372168
16.017,32.7184466
16.033,32.75080906
16.05,32.65372168
16.067,32.5566343
16.083,32.81553398
16.1,32.84789644
16.117,32.97734628
16.133,33.10679612
16.15,32.8802589
16.167,32.94498382
16.183,33.13915858
16.2,33.13915858
16.217,33.10679612
16.233,33.30097087
16.25,32.97734628
16.267,33.13915858
16.283,33.33333333
16.3,33.30097087
16.317,33.23624595
16.333,33.26860841
16.35,33.36569579
16.367,33.39805825
16.383,33.55987055
16.4,33.49514563
16.417,33.55987055
16.433,33.72168285
16.45,34.0776699
16.467,33.62459547
16.483,33.55987055
16.5,33.62459547
16.517,33.59223301
16.533,33.91585761
16.55,33.88349515
16.567,33.78640777
16.583,33.94822006
16.6,33.88349515
16.617,33.94822006
16.633,33.91585761
16.65,33.88349515
16.667,33.98058252
16.683,34.04530744
16.7,34.0776699
16.717,34.01294498
16.733,34.11003236
16.75,34.36893204
16.767,34.30420712
16.783,34.36893204
16.8,34.33656958
16.817,34.20711974
16.833,34.33656958
16.85,34.46601942
16.867,34.53074434
16.883,34.88673139
16.9,34.4012945
16.917,34.53074434
16.933,34.49838188
16.95,34.33656958
16.967,34.49838188
16.983,34.53074434
17,34.5631068
17.017,34.5631068
17.033,34.72491909
17.05,34.62783172
17.067,34.78964401
17.083,34.69255663
17.1,34.75728155
17.117,34.75728155
17.133,34.82200647
17.15,35.08090615
17.167,34.98381877
17.183,35.04854369
17.2,35.21035599
17.217,34.95145631
17.233,35.11326861
17.25,35.08090615
17.267,34.98381877
17.283,34.98381877
17.3,35.24271845
17.317,35.30744337
17.333,35.21035599
17.35,35.24271845
17.367,35.33980583
17.383,35.30744337
17.4,35.40453074
17.417,35.27508091
17.433,35.40453074
17.45,35.53398058
17.467,35.27508091
17.483,35.33980583
17.5,35.5987055
17.517,35.4368932
17.533,35.5987055
17.55,35.50161812
17.567,35.5987055
17.583,35.66343042
17.6,35.66343042
17.617,35.53398058
17.633,35.72815534
17.65,35.5987055
17.667,35.82524272
17.683,35.72815534
17.7,35.79288026
17.717,35.85760518
